"","X..i..","freq"
"177","Zimmerer,in",21
"178","Student,in (Mathematik)",15
"179","Fleischereifachverkäufer,in",10
"180","Landwirt,in",22
"181","Leiter,in des Finanz- und Rechnungswesens",4
"182","Servicemonteur,in",5
"183","Referendar,in",25
"184","Veranstaltungsmanager,in",19
"185","Verwaltungsfachkraft (höherer Dienst)",1
"186","Lebensmitteltechnologe,technologin",2
"187","Kalkulator,in",6
"188","Chemiker,in",18
"189","Hotel- und Gaststättenangestellte,r",3
"190","Student,in (Angewandte Informatik)",13
"191","Hotelfachmann,frau",26
"192","Fachangestellte,r für Arbeitsförderung",5
"193","Beamter,Beamtin Bundesbank",2
"194","Student,in (Volkswirtschaftslehre)",12
"195","Mechaniker,in",12
"196","Berufskraftfahrer,in",32
"197","Einzelhandelskaufmann,frau (Lebensmitteleinzelhandel)",42
"198","Qualitätsingenieur,in",22
"199","Brandschutztechniker,in",8
"200","Techniker,in (EDV)",5
"201","Richter,in",6
"202","Controller,in",81
"203","Fremdsprachensekretär,in",2
"204","Heilpädagoge,in",3
"205","Telefonist,in",5
"206","Diplom-Ingenieur,in Forstwirtschaft",1
"207","Verkäufer,in",81
"208","Student,in (Wirtschaftsinformatik)",28
"209","Berufsfeuerwehrmann,frau",1
"210","Lehrer,in (Gymnasium, FOS)",34
"211","Anlagenwart,in",1
"212","Feuerwehrbeamter,beamtin",5
"213","Vertriebsangestellte,r",58
"214","Medizinisch-techn. Laboratoriumsassistent,in",14
"215","Diplom-Ingenieur,in Anlagenbau",3
"216","Postangestellte,r",7
"217","Schornsteinfeger,in",10
"218","Energieelektroniker,in",5
"219","Student,in (Bauingenieurwesen)",14
"220","Student,in (Biologie)",15
"221","Steuerberater,in",21
"222","Einzelhandelskaufmann,frau (kein Lebensmitteleinzelhandel)",43
"223","LKW-Fahrer,in",13
"224","Auszubildende,r (Fachinformatiker,in)",22
"225","Pflegehelfer,in",11
"226","Heilpraktiker,in",10
"227","Bäcker,in",9
"228","Lagerarbeiter,in",23
"229","Wirtschaftsingenieur,in Wirtschaftsingenieurwesen",7
"230","IT-Systemadministrator,in",52
"231","Feuerwehrmann,frau",13
"232","Einzelhändler,in",6
"233","Elektroniktechniker,in",3
"234","Qualitätskontrolleur,in",9
"235","Assistent,in",16
"236","Hotelkaufmann,frau",7
"237","Auszubildende,r (Fachkraft für Lagerlogistik)",19
"238","Filialleiter,in (körperlich tätig)",20
"239","Werbedesigner,in",2
"240","Student,in (Psychologie)",16
"241","CNC-Bediener,in",11
"242","Landwirte, Pflanzenschützer",3
"243","Fabrikarbeiter,in",5
"244","Regierungsamtmann,frau",5
"245","Büroangestellte,r",66
"246","Auszubildende,r (Medizinische,r Fachangestellte,r)",20
"247","Diplom-Ingenieur,in Mechatronik",3
"248","Fachangestellte,r für Bürokommunikation",6
"249","Technische,r Leiter,in",4
"250","Instandhaltungsmechaniker,in",10
"251","Kaufmann,frau Büro",33
"252","Key Account Manager,in",39
"253","Wirtschaftsingenieur,in",69
"254","Maler,in und Lackierer,in (Ausbau)",4
"255","Staatsanwalt,anwältin",10
"256","Fotojournalist,in",3
"257","Artdirektor,in",5
"258","Programmierer,in",27
"259","Konstruktionsmechaniker,in Ausrüstungstechnik",4
"260","Wirtschaftsinformatiker,in",24
"261","Krankenschwester",78
"262","Verkaufsangestellte,r",15
"263","Chemieingenieur,in",6
"264","Biologe,Biologin",9
"265","Lehrer,in an berufsbildenden Schulen",13
"266","Maler,in und Lackierer,in",16
"267","Steuerfachangestellte,r",33
"268","Betriebswirtschaftler,in",34
"269","Diplom-Betriebswirt,in",27
"270","Bürofachkraft, Kaufmännische,r Angestellte",22
"271","Auszubildende,r (Kraftfahrzeugmechatroniker,in)",8
"272","Industriemeister,in",19
"273","Diplom-Ingenieur,in (sonstige)",28
"274","Personaltrainer,in",5
"275","Projektorganisator,in",4
"276","Veranstaltungsleiter,in",3
"277","Student,in (Pädagogik/Lehramt)",43
"278","Chefsekretär,in",4
"279","Koch,Köchin",61
"280","Versicherungsangstellte,r",33
"281","Haustechniker,in",16
"282","Fotograf,in",8
"283","Trockenbauer,in",5
"284","Schichtleiter,in",12
"285","Wissenschaftliche,r Assistent,in",4
"286","Wissenschaftliche,r Angestellte,r",36
"287","Personalberater,in",21
"288","Kaufmann,frau Einzelhandel (Lebensmitteleinzelh.)",26
"289","Ausbilder,in (gewerbl.-techn. Ausbildungsberufe)",7
"290","Chemiker, Chemie-Verfahrensingenieur,in",2
"291","Notarfachangestellte,r",10
"292","Trockenbaumonteur,in",5
"293","Physiker,in, Physikingenieur,in, Mathematiker,in",10
"294","Verkaufs-, Filialleiter,in im Handel",12
"295","Auszubildende,r (Kaufmann,Kauffrau für Spedition und Logistikdienstleistung)",7
"296","Bilanzbuchhalter,in",21
"297","Marktleiter,in",4
"298","Technische,r Assistent,in",5
"299","Trockenausbauer,in",1
"300","Wissenschaftler,in",11
"301","Projektbearbeiter,in",11
"302","Nagel-Designer,in",6
"303","Fachangestellte,r Bäderbetrieb",3
"304","Hotelbetriebswirt,in",5
"305","Volljurist,in",23
"306","Altenpfleger,in",71
"307","Anwendungsentwickler,in (EDV)",14
"308","Kaufmännische,r Angestellte,r (sonstige)",82
"309","Maschinenbediener,in",12
"310","Anwalt,Anwältin",10
"311","Werkstoffkundeingenieur,in",4
"312","Rechtsanwalt,anwältin",38
"313","Büro- und kaufmännische,r Sachbearbeiter,in",70
"314","Heilerziehungspfleger,in",25
"315","Vertriebsleiter,in",33
"316","Drucker,in",6
"317","Außendienstmitarbeiter,in",34
"318","Kaufmännisch-technische,r Angestellte,r",18
"319","Universitätsprofessor,in",9
"320","Kunststoffspritzer,in",1
"321","Schlosser,in",21
"322","Physiker,in",11
"323","Fachangestellte,r für Medien und Informationsdienste",7
"324","Zahntechniker,in",8
"325","Consulter,in",24
"326","Operationskrankenschwester",5
"327","Student,in (Elektrotechnik)",22
"328","Auszubildende,r (Tischler,in)",3
"329","Polizeikommissar,in",7
"330","Bürofachkraft",2
"331","Büroassistent,in",6
"332","Dozent,in",41
"333","Diplom-Pädagoge,Pädagogin",8
"334","Straßenwärter,in",18
"335","Pharmakant,in",3
"336","Marketingmanager,in",56
"337","Disponent,in",55
"338","Mediengestalter,in",22
"339","Pädagogische,r Mitarbeiter,in",7
"340","Altenpflegehelfer,in",25
"341","Pharmazeutisch-technische,r Assistent,in",11
"342","Elektroingenieur,in",27
"343","Triebfahrzeugführer,in",8
"344","Kosmetikberater,in",4
"345","Dachdecker,in",15
"346","Prozessingenieur,in",12
"347","Industriemechaniker,in (Produktionstechnik)",7
"348","Rechtspfleger,in",1
"349","Ingenieur,in für Medizintechnik",15
"350","Rolladen- und Jalousiebauer,in",2
"351","Accounting-Manager,in",25
"352","Drucker,in (Hoch-, Flach-, Tiefdruck)",9
"353","Gesamtschullehrer,in",11
"354","Industriemechaniker,in (Betriebstechnik)",15
"355","Maschinenbauingenieur,in",68
"356","Ingenieur,in für Informationstechnik",12
"357","Immobilienwirt,in",8
"358","Versicherungsvertreter,in",2
"359","Berufssoldat,in",14
"360","Personalreferent,in",34
"361","Pädagoge,Pädagogin",11
"362","Produktionsarbeiter,in",35
