"","X..i..","freq"
"756","Holztechniker,in",4
"757","Kaufmännische,r Direktor,in",1
"758","Kaufmännische,r Assistent,in Rechnungswesen",1
"759","Kaufmännische,r Leiter,in",3
"760","Kaufmännische,r Assistent,in Gesundheitswesen",1
"761","Kaufmännische,r Ausbilder,in",1
"762","Werkzeugmachermeister,in",3
"763","Kaufmännische,r Assistent,in",3
"764","Elektromonteur,in",5
"765","Montagefacharbeiter,in",2
"766","Arbeitslose,r mit Berufsausbildung",13
"767","Staatlich geprüfte,r Motopäde,Motopädin",2
"768","Operator,in",8
"769","Teiledienstleiter,in",2
"770","Anzeigenberater,in",3
"771","Maschineneinsteller,in",2
"772","Baustoff-Fachberater,in",4
"773","Sicherheitsfachkraft",12
"774","Student,in (Energiewirtschaft)",2
"775","Versandangestellte,r",3
"776","Fernmeldeelektroniker,in",1
"777","Polizeihauptkommissar,in",7
"778","Vermessungstechniker,in",15
"779","Inspizient,in",1
"780","Mediaberater,in",2
"781","Student,in (Architektur)",16
"782","Kaufmann,frau Schifffahrt",3
"783","Beamter,Beamtin Innere Verwaltung",9
"784","Regierungsangestellte,r",9
"785","Justizbeamter,beamtin",4
"786","Sicherheitsbeauftragte,r",1
"787","Administrator,in",1
"788","Technische,r Geschäftsführer,in",2
"789","Fondsmanager,in",3
"790","Paketzusteller,in",18
"791","Musiker,in",7
"792","Kommunikationstrainer,in",4
"793","Chemiearbeiter,in",1
"794","Musiker",4
"795","Reitwart,in",1
"796","Diplom-Ingenieur,in technische Informatik",1
"797","Management-Trainer,in",2
"798","Alarmanlagenmonteur,in",3
"799","Fachkrankenschwester",9
"800","Wirtschaftsberater,in",4
"801","Fremdsprachenkorrespondent,in",6
"802","Auszubildende,r (Metallbauer,in)",2
"803","Autoglaser,in",3
"804","Fachlehrer,in allgemeinbildende Schulen",4
"805","Fahrzeugbauingenieur,in",7
"806","Dachdeckergehilfe,gehilfin",6
"807","Schornsteinfegermeister,in",1
"808","Student",3
"809","Praxishelfer,in",6
"810","Tiefbauer,in",2
"811","Steinmetz,in",2
"812","Niederlassungsleiter,in",3
"813","Installateur,in",1
"814","Wirtschaftsprüfer,in",6
"815","Auszubildende,r (Sozialversicherungsfachangestellte,r)",7
"816","Gesellschafter,in Geschäftsführer,in",7
"817","Industriemechaniker,in (Geräte-, Feinwerktechnik)",11
"818","Postbeamter,beamtin mittlerer techn. Dienst",2
"819","Sekretär,in Fremdsprachen staatlich geprüft",3
"820","Futtermittelhändler,in",1
"821","Tiefbauarbeiter,in",5
"822","Futtermittelhersteller,in",1
"823","Kundenberater,in",14
"824","Beamter,Beamtin Sozialverwaltung",5
"825","Geophysiker,in",2
"826","Diplom-Kommunikationsdesigner,in",7
"827","Assistent,in Behörden- und Betriebswirtschaft",2
"828","Vertriebssachbearbeiter,in",7
"829","Metallbauer,in",13
"830","Fluggastkontrolleur,in",12
"831","Volkswirt,in",6
"832","Diplom-Sozialpädagoge,Sozialpädagogin",3
"833","Einkäufer,in, Einkaufsleiter,in",3
"834","Hausmeister,in",20
"835","Kundendiensttechniker,in",5
"836","Technische,r Sachbearbeiter,in",2
"837","Schiffstechnikingenieur,in",2
"838","Beamter,Beamtin Kommunalverwaltung",2
"839","Empfangsdame",3
"840","Kundendienstmonteur,in",1
"841","Fertigungsmonteur,in",4
"842","Apothekenangestellte,r",8
"843","Verwaltungsjurist,in",5
"844","Pfleger,in",3
"845","Förster,in",4
"846","Bestücker,in",4
"847","Feinwerkingenieur,in",2
"848","Wirtschaftsprüfer,in, Steuerberater,in und verwandte Berufe",7
"849","Fahrdienstleiter,in",17
"850","Bauarbeiter,in",9
"851","Immobilienmakler,in",16
"852","Wasserversorgungstechniker,in",2
"853","Finanzberater,in",5
"854","Fluggerätemechaniker,in",8
"855","Vermögensverwalter,in",3
"856","Bankfachmann,frau",5
"857","Amtsrat,Amtsrätin",5
"858","Vertriebsleiter,in (EDV)",3
"859","Kriminalbeamter,beamtin",3
"860","Modellschlosser,in",1
"861","Dienstleister,in",2
"862","Einrichtungsberater,in",6
"863","Personalchef,in",1
"864","Oberarzt,Oberärztin",10
"865","Staatlich geprüfte,r Techniker,in",1
"866","Rechtsanwaltsfachangestellte,r",12
"867","Holz- und Bautenschützer,in",1
"868","Hausratverkäufer,in",2
"869","Verkaufsleiter,in",9
"870","Schiffsingenieur,in",3
"871","Groß- und Einzelhandelskaufmann,frau",3
"872","Media-Fachmann,frau",3
"873","Veterinär,in",3
"874","Produktdesigner,in",2
"875","Medientechniker,in",10
"876","Fertigungsarbeiter,in",1
"877","Soldat,in",13
"878","Polizeianwärter,in",20
"879","Kaufmann,frau Einzelhandel (kein Lebensmittelein)",35
"880","Verkaufs-, Vertriebssachbearbeiter,in",6
"881","Bildungsstättenleiter,in",2
"882","Werbeleiter,in",2
"883","Pharmazeutisch-technische,r Angestellte,r",8
"884","Bergbauingenieur,in",6
"885","Sozialarbeiter,in",31
"886","Student,in (Philosophie)",2
"887","Bäcker,in- und Konditormeister,in",2
"888","Laborant,in (ohne Gefahrstoffe)",4
"889","Süßwarenfachkraft",3
"890","Kellner,in o. Ausbildung",3
"891","Reiniger,in",2
"892","Auszubildende,r (Hotelfachmann,-fachfrau)",14
"893","Frisör,in",4
"894","Zerspanungsmechaniker,in",19
"895","Textilreinigungsmeister,in",5
"896","Brauereiingenieur,in",4
"897","Kfz-Handwerker,in",2
"898","Landschaftsgärtner,in",3
"899","Industriemechaniker,in (Maschinen-, Systemtechnik)",8
"900","Notarztwagenfahrer,in",2
"901","Autohändler,in",6
"902","Bademeister,in",1
"903","Versorgungstechniker,in",4
"904","Diplom-Oekonom,Oekonomin",6
"905","Sprachtherapeut,in",2
"906","Auszubildende,r (Fachverkäufer,in im Lebensmittelhandwerk)",2
"907","Elektriker,in, Elektroinstallateur,in",28
"908","Verkäufer,in Nahrungsmittelhandwerk",11
"909","Brauer,in und Mälzer,in",1
"910","Hotelbesitzer,in",2
"911","Kaminkehrer,in",2
"912","Maschinenwarenfertiger,in",1
"913","Personaldisponent,in",7
"914","Gemeindearbeiter,in",2
"915","Realschullehrer,in",12
"916","Übersetzer,in",3
"917","Student,in (Informationstechnik)",5
"918","Rechtsanwalts- und Notargehilfe,gehilfin",5
"919","Gerüstbauer,in",8
"920","Pflegefachkraft",8
"921","Hauptschullehrer,in",2
"922","Student,in (Linguistik)",4
"923","Therapeutische Berufe",2
"924","Schulleiter,in",4
"925","Applikationstechniker,in",7
"926","Umweltschutzingenieur,in",9
"927","Mechanisator,in",3
"928","Polier,in",2
"929","Auszubildende,r (Kaufmann,Kauffrau für Versicherungen und Finanzen)",3
"930","Fahrzeuglackierer,in",6
"931","Baupolier,in",1
"932","Chemisch-technische,r Assistent,in",15
"933","Betreuungshelfer,in",3
"934","CAD-Designer,in",2
"935","Gastwirt,in",4
"936","Zeitungsausträger,in",2
"937","Verwaltungsfachkraft",3
"938","Karosserie-, Fahrzeugbauer,in",2
"939","Logistikfachmann,frau",3
"940","Diplom-Ingenieur,in Konstruktion",2
"941","Kindergartenleiter,in",4
"942","Pflasterer,in",1
"943","Internist,in",8
"944","Dampfkraftwerkmaschinist,in",1
"945","Montagearbeiter,in",4
"946","Anwendungsprogrammierer,in",10
"947","Auszubildende,r (Kaufmann,Kauffrau im Einzelhandel)",14
"948","Schreinermeister,in",2
"949","Zahnmedizinisch-technische,r Assistent,in",6
"950","CNC-Dreher,in",6
"951","Diplom-Ingenieur,in Druck- und Druckereitechnik",1
"952","Projektassistent,in",23
"953","Student,in (Biophysik)",1
"954","Werbemanager,in",7
"955","Kinderkrankenpfleger,in",5
"956","Sozialhelfer,in",4
"957","Platzwart,in",4
"958","Maurerpolier,in",1
"959","Jugendreferent,in",2
"960","Fertighausmonteur,in",2
"961","Lebensmittelverarbeitungstechniker,in",2
"962","Studienleiter,in",3
"963","Forstwirte (Waldarbeiter)",5
"964","Drogist,in",3
"965","Fernmeldehandwerker,in",1
"966","Lebensmittelchemiker,in",4
"967","Maschinist,in",1
"968","Versicherungssachbearbeiter,in",8
"969","Gebäudereinigermeister,in",2
"970","Sporttherapeut,in",5
"971","Fachreferent,in",13
"972","Elektrotechnikmeister,in",2
"973","Desinfektor,in",2
"974","Versandarbeiter,in",5
"975","Hauswirtschaftliche Gehilfen und Helfer",1
"976","Hauswirtschaftshelfer,in",2
"977","Sicherheitsmitarbeiter,in",15
"978","Serviceleiter,in",3
"979","Referatsleiter,in",3
"980","Bekleidungsnäher,in",2
"981","Systemingenieur,in",5
"982","Maurermeister,in",11
"983","Bauzeichner,in",22
"984","Student,in (Informatik)",25
"985","Psychiater,in",2
"986","Heizungsbauer,in",4
"987","Landwirtschaftsberater,in",1
"988","Sprachlehrer,in",1
"989","Diplom-Wirtschaftsingenieur,in",4
"990","Vorarbeiter,in, Gruppenleiter,in",6
"991","Vorarbeiter,i",1
"992","Tonmeister,in",2
"993","Augenoptiker,in",1
"994","Chefkoch,Chefköchin",11
"995","Diplom-Geologe,Geologin",3
"996","Werksfeuerwehrmann,frau",5
"997","Auslieferungsfahrer,in",14
"998","Bauschlosser,in",1
"999","Friseure",2
"1000","Bäckereiverkäufer,in",3
"1001","Fertigungsplaner,in",13
"1002","Schriftsteller,in",6
"1003","Hundeabrichter,in",10
"1004","Diplom-Sozialarbeiter,in",7
"1005","Finanz-, Rechnungswesenfachkraft, Kalkulator",4
"1006","Straßenbahnfahrer,in",4
"1007","Kundendienstberater,in",2
"1008","Prüfmonteur,in",3
"1009","Medizinisch-technische,r Röntgenassistent,in",2
"1010","Spielhallenaufsicht",4
"1011","Baustoffhändler,in",2
"1012","Feinblechner,in",1
"1013","Arbeitslose,r ohne Berufsausbildung",3
"1014","Karosseriebauer,in",7
"1015","Medienberater,in (Werbung)",13
"1016","Erzieherhelfer,in",7
"1017","Finanzmakler,in",3
"1018","Trainer,in",3
"1019","Börsenmakler,in",5
"1020","Chemiehelfer,in",4
"1021","Automatisierungstechniker,in",2
"1022","Angebotssachbearbeiter,in",6
"1023","Sozialassistent,in",2
"1024","Immobilienverwalter,in",6
"1025","Chemiefacharbeiter,in",3
"1026","Chemiebetriebswerker,in",1
"1027","Chemiewerker,in",1
"1028","Ingenieur,in für Agrochemie",1
"1029","Chemievorarbeiter,in",1
"1030","Chemiebetriebsarbeiter,in",2
"1031","Chemiefachwerker,in",1
"1032","Tierarzthelfer,in",6
"1033","Medienpädagoge,pädagogin",2
"1034","Laborant,in Chemie",1
"1035","Lebensmitteltechniker,in",3
"1036","Bootsbauer,in",2
"1037","Telefonverkäufer,in",2
"1038","Automobilverkäufer,in",18
"1039","Heizungs- und Sanitärinstallateur,in",14
"1040","Sportwissenschaftler,in",5
"1041","Einkaufsleiter,in",10
"1042","Gießer,in",2
"1043","Pferdepfleger,in",2
"1044","Schweißer,in",26
"1045","Elektriker,in Bergbau unter Tage",3
"1046","Maschinenschlosser,in",2
"1047","Industrielackierer,in",5
"1048","Psychologe,in",5
"1049","Pressenführer,in",4
"1050","Anlagenbediener,in",29
"1051","Baufacharbeiter,in",7
"1052","Fertigungsmechaniker,in",8
"1053","Musikmanager,in",3
"1054","Kommunikations-, Büroinformationselektroniker,in",3
"1055","Pressereferent,in",5
"1056","Designer,in Grafik",12
"1057","Gebietsverkaufsleiter,in",2
"1058","Reisebüroangestellte,r",5
"1059","Restaurantfachmann,frau",2
"1060","Straßen- und Tiefbaufacharbeiter,in",15
"1061","Anlagen-, Konstruktionsmechaniker,in",3
"1062","Krankenschwestern, -pfleger, Hebammen",13
"1063","Straßenbaupolier,in",6
"1064","Diplom-Mathematiker,in",5
"1065","Kommunalverwaltungsbeamter,beamtin",5
"1066","Organisationsberater,in",1
"1067","Holzbearbeitungsmechaniker,in",7
"1068","Metallbauer (Metallgestaltung) und Schmiede (Handwerk)",5
"1069","Selbständige,r Musiklehrer,in",8
"1070","Briefsortierer,in",3
"1071","Erdarbeiter,in",1
"1072","Designer,in",7
"1073","Bühnenhandwerker,in",2
"1074","Polizeiobermeister,in",3
"1075","Bürsten- und Pinselmacher,in",1
"1076","Garten- und Landschaftspfleger,in",2
"1077","Web-Designer,in",11
"1078","Produktionsingenieur,in",8
"1079","Betriebsassistent,in",4
"1080","Lokführer,in",10
"1081","Filialleiter,in (nicht körperlich tätig)",8
"1082","Kraftwerkmeister,in",1
"1083","Art-Director Werbung",3
"1084","Maschinenarbeiter,in",9
"1085","Verwaltungsfachwirt,in",4
"1086","Ledertechniker,in",2
"1087","Techniker,in (sonstige)",18
"1088","Reiseveranstalter,in",1
"1089","Stadtinspektor,in",3
"1090","Industrievulkaniseur,in",3
"1091","Diplom-Ingenieur,in techn. Gesundheitswesen",1
"1092","Technische,r Außendienstmitarbeiter,in",4
"1093","Laborleiter,in",6
"1094","Braumeister,in",3
"1095","Hörfunkredakteur,in",2
"1096","Metzgereifachverkäufer,in",5
"1097","Logistikkoordinator,in",9
"1098","Einrichter,in",3
"1099","Strahlenschutzingenieur,in",8
"1100","Hotelier,in",3
"1101","Naturwissenschaftler,in",2
"1102","Projektberater,in",3
"1103","Prokurist,in",4
"1104","Student,in (Geschichte)",5
"1105","Student,in (Management)",12
"1106","Wachmann,frau",3
"1107","Rechtsreferendar,in",9
"1108","Biologisch-technische,r Assistent,in",4
"1109","Lehrer",1
"1110","Rezeptionist,in",2
"1111","Zahntechnikermeister,in",7
"1112","Hilfsgärtner,in",2
"1113","Bierfahrer,in",1
"1114","Lebensversicherungssachbearbeiter,in",2
"1115","ADAC-Straßenwacht",2
"1116","Hausmeister, Hauswarte",7
"1117","Betonleerer,in",2
"1118","Hundezüchter,in",2
"1119","Finanzdienstleister,in",12
"1120","Glas- und Gebäudereiniger,in",4
"1121","Export-Sachbearbeiter,in",2
"1122","Architekten, Raumplaner",1
"1123","Tierheilpraktiker,in",2
"1124","Straßenbauer,in",9
"1125","Texter,in",3
"1126","Glaser,in",6
"1127","Marketingsekretär,in",1
"1128","Student,in ",2
"1129","Journalist,in Zeitungen und Zeitschriften",1
"1130","Bürokommunikationskaufmann,frau",4
"1131","Betriebsschlosser,in",5
"1132","Zahnmedizinische,r Fachgehilfe,gehilfin",4
"1133","Galvaniseur,in",2
"1134","Büroleiter,in",4
"1135","Gleisbauer,in",2
"1136","Trockenbaumeister,in",1
"1137","Medienbetriebstechnikingenieur,in",1
"1138","Polizeibeamter,beamtin Innendienst",6
"1139","CNC-Programmierer,in",4
"1140","Staatlich geprüfte,r Rettungsassistent,in",1
"1141","Warenannahmeleiter,in",3
"1142","Servicefachkraft (Restaurant)",7
"1143","Kraftfahrzeug-Mechaniker,in",2
"1144","Kabelmonteur,in",9
"1145","Sonstige Lehrer",1
"1146","Systemspezialist,in",1
"1147","Polierer,in",6
"1148","Fachberater,in",6
"1149","Fertigungsleiter,in",3
"1150","Fahr-, Verkehrslehrer,in",4
"1151","Autoverkäufer,in",2
"1152","Versicherungsmakler,in",5
"1153","Krankenträger,in",2
"1154","Zusteller,in",3
"1155","Heilerziehungshelfer,in",4
"1156","Forstwirt,in",7
"1157","Servicekaufmann,frau im Luftverkehr",1
"1158","Kommunalbeamter,beamtin",4
"1159","Grundstücks- und Wohnungswirtschaftskaufmann,frau",3
"1160","Promoter,in",3
"1161","Student,in (Biochemie)",14
"1162","Grafiker,in",15
"1163","Berufsschullehrer,in",8
"1164","Federmacher,in",1
"1165","Matrose,in Seeschifffahrt",2
"1166","Kapitäne (Küsten-, Seeschifffahrt)",1
"1167","Handelsvertreter,in, Vertriebsbeauftragter,in",9
"1168","Transportunternehmer,in",1
"1169","Hauswirtschaftsassistent,in",3
"1170","Kaufhausdektektiv,in",1
"1171","Diplom-Biologe, Biologin",5
"1172","Ingenieurassistent,in Maschinenbau",3
"1173","EDV-Techniker,in",1
"1174","Augenoptiker,in staatlich geprüft",1
"1175","Sparkassenfachwirt,in",3
"1176","Arzt,Ärztin (Kiefer-, Zahnmedizin)",3
"1177","Kameramann,frau",3
"1178","Taxiunternehmer,in",4
"1179","Agrarwissenschaftler,in",2
"1180","Marketingkaufmann,frau",6
"1181","Sachversicherungssachbearbeiter,in",2
"1182","Psychagoge,Psychagogin",2
"1183","Geschäftsstellenleiter,in",4
"1184","Studienrat,rätin",2
"1185","Art-Director Designer,in",3
"1186","Paketpacker,in",1
"1187","Greenkeeper,in (Golf)",4
"1188","Informatikassistent,in",2
"1189","Land-, Tierwirtschaftsberater; Agraringenieur,in",2
"1190","Projektentwickler,in",2
"1191","Beleuchter,in",2
"1192","Energieberater,in",1
"1193","IT-Systementwickler,in",8
"1194","Leichenbestatter,in",3
"1195","Maschineneinrichter,in",4
"1196","Mess- und Reglungstechniker,in",2
"1197","Beamter,Beamtin Feuerwehrtechnischer Dienst",7
"1198","Kaufmann,frau Eisenbahn",2
"1199","Feinwerktechniker,in",2
"1200","Student,in (Medizintechnik)",8
"1201","Manager,",1
"1202","Tiefbaufacharbeiter,in Rohrleitungsbauer",3
"1203","Bauunternehmer,in",2
"1204","Student,in (Data Science)",2
"1205","Innendienstmitarbeiter,in",2
"1206","Pressesprecher,in",7
"1207","Industrieelektroniker,in Produktionstechnik",4
"1208","Umweltschutztechnische,r Assistent,in",1
"1209","Bohrarbeiter,in",1
"1210","Technische,r Mitarbeiter,in",1
"1211","Inspektor,in",5
"1212","Kraftwerker,in",3
"1213","Metallfacharbeiter,in",2
"1214","Gebäudetechniker,in",2
"1215","Systemanalytiker,in",3
"1216","Küchenmonteur,in",7
"1217","Bankfachwirt,in",12
"1218","Diplom-Oecotrophologe,in Ernährung und Hauswirtschaft",3
"1219","Fachkraft für Veranstalt.-Technik",2
"1220","Baumaschinenführer,in",1
"1221","Baustoffprüfer,in",2
"1222","Betonbohrer,in",4
"1223","Dokumentationsassistent,in medizinische,r",1
"1224","Dokumentarfachmann,frau",1
"1225","Diplom-Dokumentar,in",1
"1226","Stahlwerker,in",3
"1227","Verkaufssachbearbeiter,in",2
"1228","Medizinische,r Dokumentar,in",4
"1229","Speditionssachbearbeiter,in",1
"1230","Werkstattleiter,in",8
"1231","Dokumentar,in",1
"1232","Modellbauer,in",1
"1233","Sattler,in",4
"1234","Hotelassistent,in",2
"1235","Kamera-Assistent,in",1
"1236","Personalfachkaufmann,frau",6
"1237","Pilot,in",7
"1238","Energiebeauftragte,r",2
"1239","Kanalarbeiter,in",2
"1240","Omnibusführer,in",6
"1241","Materialbereitsteller,in",7
"1242","Rohrreiniger,in",2
"1243","Staatlich geprüfte,r Betriebswirt,in",1
"1244","Abwassertechniker,in",2
"1245","Auszubildende,r (Zerspanungsmechaniker,in)",7
"1246","Verkaufshilfe",3
"1247","Verkaufsberater,in",3
"1248","Florist,in",5
"1249","Papiermaschinenführer,in",1
"1250","Feinwerker,in (Elektronik)",1
"1251","Fachverkäufer,in",4
"1252","Student,in (International Business)",3
"1253","Chefarzt,ärztin",3
"1254","Archivar,in",2
"1255","Religionspädagoge,pädagogin",3
"1256","Mechanikerhelfer,in",4
"1257","Werker,in",5
"1258","Medizinisch-technische,r Radiologieassistent,in",7
"1259","Wagenmeister,in",1
"1260","Systembetreuer,in (EDV)",2
"1261","Diplom-Ingenieur,in Strahlenschutz",2
"1262","Invenstmentberater,in",4
"1263","Werkzeugmacher,in",3
"1264","Elektroanlageninstallateur,in",4
"1265","Molkereiarbeiter,in",1
"1266","Maschinenführer,in",11
"1267","Doktorand,in",5
"1268","Straßenbauarbeiter,in",3
"1269","Grenzschutzpolizist,in",3
"1270","Auszubildende,r (Automobilkaufmann,-kauffrau)",4
"1271","Energieelektroniker,in Anlagentechnik",2
"1272","Personalvermittler,in",2
"1273","Tiefbaufacharbeiter,in",3
"1274","Konstruktionstechniker,in",3
"1275","Vermieter,in",3
"1276","Rohrleitungsbauer,in",4
"1277","Reinemachfrau",2
"1278","Werkzeugmacher,in Handwerk",1
"1279","Leiter,in (EDV)",4
"1280","Polizeibedienstete,r",2
"1281","Justizvollzugsbeamter,beamtin",4
"1282","Marketingfachkaufmann,frau",4
"1283","Orthopädietechniker,in",2
"1284","Verkehrstechniker,in",3
"1285","Amtsleiter,in",3
"1286","Logistikleiter,in",2
"1287","Verwalter,in",1
"1288","Bauhofarbeiter,in",4
"1289","Eisenbieger,in",1
"1290","Fachagrarwirt,in",3
"1291","Steuerfachmann,frau",3
"1292","Support -Ingenieur,in",2
"1293","Maler- und Lackierermeister,in",2
"1294","Schweinezüchter,in",2
"1295","Netzwerktechniker,in",5
"1296","Dokumentationsassistent,in",5
"1297","Tierwirt,in",1
"1298","Verwalter,in in der Land- und Tierwirtschaft",1
"1299","Verwaltungsbeamter,beamtin Innere",2
"1300","Sozialversicherungskaufmann,frau",2
"1301","Industrie-Designer,in",5
"1302","Familienhelfer,in",2
"1303","Gastronomieangestellte,r",4
"1304","Schulhausmeister,in",4
"1305","Technische,r Betriebsleiter,in",3
"1306","Kurierfahrer,in",4
"1307","Sonstige Berufe in der Lebensmittelherstellung",1
"1308","Fahrlehrer,in",9
"1309","Berufsbetreuer,in",1
"1310","Prüfingenieur,in TÜV",2
"1311","Pharmaberater,in",1
"1312","Karosserie- und Fahrzeugbauer,in",2
"1313","Psychiatriepfleger,in",2
"1314","REFA-Fachkraft",1
"1315","Banksachbearbeiter,in",4
"1316","Industriekeramiker,in",2
"1317","Schmelzschweißer,in",5
"1318","Güteprüfer,in",5
"1319","Hundepfleger,in",3
"1320","Bandarbeiter,in",8
"1321","Möbelmonteur,in",2
"1322","Student,in (Kommunikation)",7
"1323","Zerspanungstechniker,in",2
"1324","Briefzusteller,in",3
"1325","Verkaufsstellenverwalter,in",1
"1326","Hotelmanager,in",6
"1327","Signalmechaniker,in",3
"1328","Ingenieurassistent,in Elektrotechnik",8
"1329","Städtische,r Angestellte,r",2
"1330","Diplom-Agraringenieur,in",3
"1331","Heizungs- Lüftungs- und Klimatechniker,in",3
"1332","Schwimmmeistergehilfe,gehilfin",2
"1333","Krankengymnast,in",1
"1334","Werkzeugmechaniker,in Formentechnik",1
"1335","Bundeswehrbedienstete,r",1
"1336","Hochofenbeschicker,in",1
"1337","Technische,r Berater,in",2
"1338","Messebauer,in",7
"1339","Ingenieurassistent,in Kosmetologie",4
"1340","Laboringenieur,in",3
"1341","Diplom-Ingenieur,in Architektur",7
"1342","Werbeberater,in",6
"1343","Diplom-Bibliothekar,in öffentliche Bibliotheken",2
"1344","Bürokraft",3
"1345","Fitnessstudioleiter,in",1
"1346","Baumaschinist,in",4
"1347","Garten- und Landschaftsbauhelfer,in",2
"1348","Touristikfachwirt,in",2
"1349","Wassermeister,in",3
"1350","Außenhandelskauffrau,mann",6
"1351","Siebdrucker,in",5
"1352","Technische,r Autor,in",2
"1353","Neurochirurg,in",2
"1354","Qualitätssicherer,in",10
"1355","Offsetdrucker,in",2
"1356","Diplom-Übersetzer,in",3
"1357","Eisenflechter,in",2
"1358","EDV-Ingenieur,in",3
"1359","Papiermacher,in",5
"1360","Fahrzeugpfleger,in",2
"1361","Student,in (Mechatronik)",1
"1362","Metallbearbeiter,in",2
"1363","Versuchsingenieur,in",9
"1364","Frauenarzt,ärztin",1
"1365","Landschaftsgärtnermeister,in",2
"1366","Diplom-Ingenieur,in Biotechnologie",1
"1367","Abwasserentsorger,in",2
"1368","Justizangestellte,r",2
"1369","Zugbegleiter,in",2
"1370","U-Bahnfahrer,in",2
"1371","Kaufmann,frau Grundstücke",2
"1372","Sparkassenangestellte,r",2
"1373","Patentingenieur,in",2
"1374","Emaillierer,in, Feuerverzinker,in Metalloberflächen",2
"1375","Diplom-Ingenieur,in Wirtschaft",4
"1376","Bahnangestellte,r",3
"1377","Inbetriebnahmeingenieur,in",5
"1378","Gaststätteninhaber,in",2
"1379","Hotel- Gaststätten- und Fremdenverkehrassistent,in",1
"1380","Pensionsinhaber,in",1
"1381","Wasserbauingenieur,in",2
"1382","Fährmann,frau",2
"1383","Prüffeldmonteur,in",5
"1384","Schiffbauingenieur,in",6
"1385","Kaufmann,frau Datenverarbeitung",4
"1386","Justizvollzugsdienstbeamter,beamtin",6
"1387","Beamter,Beamtin Justizvollzugsdienst",4
"1388","Oecotrophologe,Oecotrophologin",3
"1389","Diplom-Grafiker,in",3
"1390","Maler,in und Anstreicher,in",2
"1391","Musikproduzent,in",1
"1392","Diplom-Sozialwirt,in",2
"1393","Rechtsanwalt,anwältin und Notar,in",8
"1394","Rechtsanwalts- und Notargehilfe,in",2
"1395","Kaufmann,frau Versicherung",7
"1396","Ener",1
"1397","Energietechniker,in",3
"1398","Werbetexter,in",3
"1399","Energietechnik",1
"1400","Suchtkrankenberater,in",4
"1401","Ver- und Entsorger,in",3
"1402","Justitiar,in",3
"1403","Fachkraft (EDV)",5
"1404","Kulturwissenschaftler,in",1
"1405","Müllwerker,in",2
"1406","Schweißfachmann,frau",3
"1407","Landschaftsgartenbauer,in",2
"1408","Rechtsanwaltangestellte,r",3
"1409","Gastronomieleiter,in",3
"1410","Orthopädiemechaniker,in und Bandagist,in",3
"1411","Montierer,in",4
"1412","Student,in (Media Producer)",7
"1413","Anwendungstechnikingenieur,in",5
"1414","Rohrnetzmonteur,in",2
"1415","Student,in (Rechtswissenschaften)l/",1
"1416","Zollverwaltungsbeamter,beamtin mittlerer Dienst",2
"1417","Diplom-Verwaltungsfachwirt,in",3
"1418","Diplom-Immobilienwirt,in",2
"1419","Gärtner,in, Gartenarbeiter,in",2
"1420","Fuhrparkleiter,in",1
"1421","Betriebsberater,in",4
"1422","Tierarzt, ärztin (Landtierarzt, Großtierpraxis)",1
"1423","Richter,in, Staats-, Amtsanwälte,anwältinnen",2
"1424","Luftfahrtingenieur,in",2
"1425","Einkaufsassistent,in",2
"1426","Eiscremehersteller,in",1
"1427","Polizeivollzugsbeamter,beamtin Bundesgrenzschutz",4
"1428","Bauhelfer,in",7
"1429","Zugführer,in",2
"1430","Gymnasiallehrer,in",3
"1431","Ausbilder,in, gewerblich",3
"1432","Fachkaufmann,frau Marketing",2
"1433","Auszubildende,r (Verwaltungsfachangestellte,r)",2
"1434","Bundesbahnverwaltungsangestellte,r",3
"1435","Bundesbahnangestellte,r",1
"1436","Bundesgrenzschutzverwaltungsangestellte,r",1
"1437","Bundeswehrverwaltungsangestellte,r",1
"1438","Bibliotheksangestellte,r",1
"1439","Assistent,in Automatisierungstechnik",2
"1440","Fitness-Trainer,in",1
"1441","Systemtechniker,in",2
"1442","Straßenbaufacharbeiter,in",2
"1443","Hörgeräteakustikermeister,in",4
"1444","Musikerzieher,in",7
"1445","Diplom-Vermessungsingenieur,in",4
"1446","Produktionstechniker,in",3
"1447","Fachkraft für Fluggastabfertigung",3
"1448","Musiker,in (Solist oder freiberuflich)",3
"1449","Gerichtsvollzieher,in",5
"1450","Autosattler,in",5
"1451","Diplom-Biochemiker,in",3
"1452","Bankrevisor,in",2
"1453","Empfangssekretär,in",3
"1454","Diplom-Chemiker,in",3
"1455","Geprüfte,r Wirtschaftsinformatiker,in",4
"1456","Chemie-Verfahrensingenieur,in",2
"1457","Diplom-Ingenieur,in Versorgungstechnik",2
"1458","Politikwissenschaftler,in",4
"1459","Vorstand",2
"1460","Konstruktionsmechaniker,in",9
"1461","Taxator,in",1
"1462","Mitarbeiter,in Bahn Rangierdienst",1
"1463","Chemischreiniger,in",1
"1464","Kraftfahrzeugingenieur,in",2
"1465","Beamter,Beamtin Gewerbeaufsichtsverwaltung",2
"1466","Erprobungsingenieur,in",1
"1467","Diplom-Informatiker,in allg. Informatik",3
"1468","Bauelementemonteur,in",1
"1469","Geschäftsinhaber,in",1
"1470","Vertreter,in",4
"1471","Sicherheitsingenieur,in",2
"1472","Ober",1
"1473","Fernsehjournalist,in",6
"1474","Destillateur,in",4
"1475","Garten- und Landschaftsarchitekt,in",2
"1476","Justizsekretäranwärter,in",1
